word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
fucking,f*cking,fucking,fckng,f u c k i n g,f_u_c_k_i_n_g,ufcking,fuuuuucking,fuckinga,fckng
ho,h*,h0,h,h o,h_o,oh,hooooo,how,h*
untalented,*ntalented,untalented,ntlntd,u n t a l e n t e d,u_n_t_a_l_e_n_t_e_d,nutalented,uuuuuntalented,untalentedy,u n t a l e n t e d
bald,b*ld,bald,bld,b a l d,b_a_l_d,abld,baaaaald,baldh,b a l d
asshole,*sshole,assh0le,sshl,a s s h o l e,a_s_s_h_o_l_e,sashole,aaaaasshole,assholei,*sshole
scoundrel,sc*undrel,sc0undrel,scndrl,s c o u n d r e l,s_c_o_u_n_d_r_e_l,csoundrel,scoooooundrel,scoundrelx,scoooooundrel
cruel,cr*el,cruel,crl,c r u e l,c_r_u_e_l,rcuel,cruuuuuel,cruela,cr*el
skank,sk*nk,skank,sknk,s k a n k,s_k_a_n_k,ksank,skaaaaank,skanke,sk*nk
loony,l*ony,l0ony,lny,l o o n y,l_o_o_n_y,olony,loooooony,loonyg,l o o n y
misogynist,m*sogynist,mis0gynist,msgynst,m i s o g y n i s t,m_i_s_o_g_y_n_i_s_t,imsogynist,miiiiisogynist,misogynista,msgynst
tyrant,tyr*nt,tyrant,tyrnt,t y r a n t,t_y_r_a_n_t,ytrant,tyraaaaant,tyrantu,t_y_r_a_n_t
homicidal,h*micidal,h0micidal,hmcdl,h o m i c i d a l,h_o_m_i_c_i_d_a_l,ohmicidal,hooooomicidal,homicidalg,h*micidal
kook,k*ok,k0ok,kk,k o o k,k_o_o_k,okok,kooooook,kookv,k_o_o_k
spiteful,sp*teful,spiteful,sptfl,s p i t e f u l,s_p_i_t_e_f_u_l,psiteful,spiiiiiteful,spitefulu,spiteful
deceitful,d*ceitful,deceitful,dctfl,d e c e i t f u l,d_e_c_e_i_t_f_u_l,edceitful,deeeeeceitful,deceitfulx,dctfl
dishonest,d*shonest,dish0nest,dshnst,d i s h o n e s t,d_i_s_h_o_n_e_s_t,idshonest,diiiiishonest,dishonesta,dshnst
brutish,br*tish,brutish,brtsh,b r u t i s h,b_r_u_t_i_s_h,rbutish,bruuuuutish,brutishm,brutish
druggie,dr*ggie,druggie,drgg,d r u g g i e,d_r_u_g_g_i_e,rduggie,druuuuuggie,druggied,d_r_u_g_g_i_e
phony,ph*ny,ph0ny,phny,p h o n y,p_h_o_n_y,hpony,phooooony,phonyo,phny
freaky,fr*aky,freaky,frky,f r e a k y,f_r_e_a_k_y,rfeaky,freeeeeaky,freakyj,frky
insulting,*nsulting,insulting,nsltng,i n s u l t i n g,i_n_s_u_l_t_i_n_g,nisulting,iiiiinsulting,insultingl,insultingf
cruel,cr*el,cruel,crl,c r u e l,c_r_u_e_l,rcuel,cruuuuuel,crueli,c r u e l
crackpot,cr*ckpot,crackp0t,crckpt,c r a c k p o t,c_r_a_c_k_p_o_t,rcackpot,craaaaackpot,crackpotj,crackpotp
blowhard,bl*whard,bl0whard,blwhrd,b l o w h a r d,b_l_o_w_h_a_r_d,lbowhard,blooooowhard,blowhardf,blowharda
pervert,p*rvert,pervert,prvrt,p e r v e r t,p_e_r_v_e_r_t,eprvert,peeeeervert,pervertx,prvrt
miserable,m*serable,miserable,msrbl,m i s e r a b l e,m_i_s_e_r_a_b_l_e,imserable,miiiiiserable,miserablev,m*serable
molester,m*lester,m0lester,mlstr,m o l e s t e r,m_o_l_e_s_t_e_r,omlester,mooooolester,molesteru,omlester
bigoted,b*goted,big0ted,bgtd,b i g o t e d,b_i_g_o_t_e_d,ibgoted,biiiiigoted,bigotedw,b_i_g_o_t_e_d
conniving,c*nniving,c0nniving,cnnvng,c o n n i v i n g,c_o_n_n_i_v_i_n_g,ocnniving,cooooonniving,connivingd,c_o_n_n_i_v_i_n_g
hillbilly,h*llbilly,hillbilly,hllblly,h i l l b i l l y,h_i_l_l_b_i_l_l_y,ihllbilly,hiiiiillbilly,hillbillyd,hillbillyy
deviant,d*viant,deviant,dvnt,d e v i a n t,d_e_v_i_a_n_t,edviant,deeeeeviant,deviantq,deviantj
sexist,s*xist,sexist,sxst,s e x i s t,s_e_x_i_s_t,esxist,seeeeexist,sexistw,sexist
pansy,p*nsy,pansy,pnsy,p a n s y,p_a_n_s_y,apnsy,paaaaansy,pansyr,p_a_n_s_y
louse,l*use,l0use,ls,l o u s e,l_o_u_s_e,oluse,looooouse,lousey,louset
snivel,sn*vel,snivel,snvl,s n i v e l,s_n_i_v_e_l,nsivel,sniiiiivel,snivelm,sniiiiivel
guido,g*ido,guid0,gd,g u i d o,g_u_i_d_o,ugido,guuuuuido,guidou,g*ido
oaf,*af,0af,f,o a f,o_a_f,aof,oooooaf,oafo,f
incompetent,*ncompetent,inc0mpetent,ncmptnt,i n c o m p e t e n t,i_n_c_o_m_p_e_t_e_n_t,nicompetent,iiiiincompetent,incompetento,inc0mpetent
lame,l*me,lame,lm,l a m e,l_a_m_e,alme,laaaaame,lamek,lamep
silly,s*lly,silly,slly,s i l l y,s_i_l_l_y,islly,siiiiilly,sillyt,siiiiilly
manipulative,m*nipulative,manipulative,mnpltv,m a n i p u l a t i v e,m_a_n_i_p_u_l_a_t_i_v_e,amnipulative,maaaaanipulative,manipulativec,manipulative
scam,sc*m,scam,scm,s c a m,s_c_a_m,csam,scaaaaam,scaml,s_c_a_m
dumb,d*mb,dumb,dmb,d u m b,d_u_m_b,udmb,duuuuumb,dumbb,dumb
bitchy,b*tchy,bitchy,btchy,b i t c h y,b_i_t_c_h_y,ibtchy,biiiiitchy,bitchyc,bitchyj
shameful,sh*meful,shameful,shmfl,s h a m e f u l,s_h_a_m_e_f_u_l,hsameful,shaaaaameful,shamefulo,s_h_a_m_e_f_u_l
whore,wh*re,wh0re,whr,w h o r e,w_h_o_r_e,hwore,whooooore,whorel,hwore
greedy,gr*edy,greedy,grdy,g r e e d y,g_r_e_e_d_y,rgeedy,greeeeeedy,greedyd,greedy
wank,w*nk,wank,wnk,w a n k,w_a_n_k,awnk,waaaaank,wanks,awnk
fucker,f*cker,fucker,fckr,f u c k e r,f_u_c_k_e_r,ufcker,fuuuuucker,fuckery,fuckere
crackhead,cr*ckhead,crackhead,crckhd,c r a c k h e a d,c_r_a_c_k_h_e_a_d,rcackhead,craaaaackhead,crackheady,c_r_a_c_k_h_e_a_d
wack,w*ck,wack,wck,w a c k,w_a_c_k,awck,waaaaack,wackt,waaaaack
ninny,n*nny,ninny,nnny,n i n n y,n_i_n_n_y,innny,niiiiinny,ninnym,n*nny
dreadful,dr*adful,dreadful,drdfl,d r e a d f u l,d_r_e_a_d_f_u_l,rdeadful,dreeeeeadful,dreadfuld,dreeeeeadful
yokel,y*kel,y0kel,ykl,y o k e l,y_o_k_e_l,oykel,yoooookel,yokeli,y o k e l
mindless,m*ndless,mindless,mndlss,m i n d l e s s,m_i_n_d_l_e_s_s,imndless,miiiiindless,mindlessk,mindlessl
coward,c*ward,c0ward,cwrd,c o w a r d,c_o_w_a_r_d,ocward,coooooward,cowardk,cwrd
scheming,sch*ming,scheming,schmng,s c h e m i n g,s_c_h_e_m_i_n_g,csheming,scheeeeeming,schemingq,s_c_h_e_m_i_n_g
dumb,d*mb,dumb,dmb,d u m b,d_u_m_b,udmb,duuuuumb,dumba,d_u_m_b
cowardly,c*wardly,c0wardly,cwrdly,c o w a r d l y,c_o_w_a_r_d_l_y,ocwardly,cooooowardly,cowardlyt,c0wardly
thug,th*g,thug,thg,t h u g,t_h_u_g,htug,thuuuuug,thugf,thuuuuug
pedophile,p*dophile,ped0phile,pdphl,p e d o p h i l e,p_e_d_o_p_h_i_l_e,epdophile,peeeeedophile,pedophiley,pdphl
wacko,w*cko,wack0,wck,w a c k o,w_a_c_k_o,awcko,waaaaacko,wackof,w*cko
murderer,m*rderer,murderer,mrdrr,m u r d e r e r,m_u_r_d_e_r_e_r,umrderer,muuuuurderer,murdererb,murderer
fiend,f*end,fiend,fnd,f i e n d,f_i_e_n_d,ifend,fiiiiiend,fiendl,fiend
lame,l*me,lame,lm,l a m e,l_a_m_e,alme,laaaaame,lamed,laaaaame
leering,l*ering,leering,lrng,l e e r i n g,l_e_e_r_i_n_g,elering,leeeeeering,leeringy,elering
reprehensible,r*prehensible,reprehensible,rprhnsbl,r e p r e h e n s i b l e,r_e_p_r_e_h_e_n_s_i_b_l_e,erprehensible,reeeeeprehensible,reprehensiblel,r*prehensible
cock,c*ck,c0ck,cck,c o c k,c_o_c_k,occk,cooooock,cockp,c o c k
stig,st*g,stig,stg,s t i g,s_t_i_g,tsig,stiiiiig,stigf,s_t_i_g
loudmouth,l*udmouth,l0udmouth,ldmth,l o u d m o u t h,l_o_u_d_m_o_u_t_h,oludmouth,loooooudmouth,loudmouths,l_o_u_d_m_o_u_t_h
detestable,d*testable,detestable,dtstbl,d e t e s t a b l e,d_e_t_e_s_t_a_b_l_e,edtestable,deeeeetestable,detestablew,d_e_t_e_s_t_a_b_l_e
inbred,*nbred,inbred,nbrd,i n b r e d,i_n_b_r_e_d,nibred,iiiiinbred,inbredy,nibred
gook,g*ok,g0ok,gk,g o o k,g_o_o_k,ogok,gooooook,gookx,g_o_o_k
monger,m*nger,m0nger,mngr,m o n g e r,m_o_n_g_e_r,omnger,mooooonger,mongeri,mooooonger
slacker,sl*cker,slacker,slckr,s l a c k e r,s_l_a_c_k_e_r,lsacker,slaaaaacker,slackerp,s_l_a_c_k_e_r
wannabe,w*nnabe,wannabe,wnnb,w a n n a b e,w_a_n_n_a_b_e,awnnabe,waaaaannabe,wannabex,w a n n a b e
smug,sm*g,smug,smg,s m u g,s_m_u_g,msug,smuuuuug,smuga,s m u g
disreputable,d*sreputable,disreputable,dsrptbl,d i s r e p u t a b l e,d_i_s_r_e_p_u_t_a_b_l_e,idsreputable,diiiiisreputable,disreputablez,disreputablez
cheater,ch*ater,cheater,chtr,c h e a t e r,c_h_e_a_t_e_r,hceater,cheeeeeater,cheaterv,cheaterm
slimeball,sl*meball,slimeball,slmbll,s l i m e b a l l,s_l_i_m_e_b_a_l_l,lsimeball,sliiiiimeball,slimeballk,slimeball
rude,r*de,rude,rd,r u d e,r_u_d_e,urde,ruuuuude,rudec,urde
shoddy,sh*ddy,sh0ddy,shddy,s h o d d y,s_h_o_d_d_y,hsoddy,shoooooddy,shoddyr,sh*ddy
spaz,sp*z,spaz,spz,s p a z,s_p_a_z,psaz,spaaaaaz,spazd,s p a z
fuckwit,f*ckwit,fuckwit,fckwt,f u c k w i t,f_u_c_k_w_i_t,ufckwit,fuuuuuckwit,fuckwitv,fuckwitd
