word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
unforgiveness,*nforgiveness,unf0rgiveness,nfrgvnss,u n f o r g i v e n e s s,u_n_f_o_r_g_i_v_e_n_e_s_s,nuforgiveness,uuuuunforgiveness,unforgivenessp,u_n_f_o_r_g_i_v_e_n_e_s_s
creepmouse,cr*epmouse,creepm0use,crpms,c r e e p m o u s e,c_r_e_e_p_m_o_u_s_e,rceepmouse,creeeeeepmouse,creepmouseb,crpms
kiasu,k*asu,kiasu,ks,k i a s u,k_i_a_s_u,ikasu,kiiiiiasu,kiasus,k*asu
antinigger,*ntinigger,antinigger,ntnggr,a n t i n i g g e r,a_n_t_i_n_i_g_g_e_r,natinigger,aaaaantinigger,antiniggerp,a_n_t_i_n_i_g_g_e_r
parsonish,p*rsonish,pars0nish,prsnsh,p a r s o n i s h,p_a_r_s_o_n_i_s_h,aprsonish,paaaaarsonish,parsonishw,p_a_r_s_o_n_i_s_h
splittist,spl*ttist,splittist,splttst,s p l i t t i s t,s_p_l_i_t_t_i_s_t,pslittist,spliiiiittist,splittistq,splittistv
shitcan,sh*tcan,shitcan,shtcn,s h i t c a n,s_h_i_t_c_a_n,hsitcan,shiiiiitcan,shitcang,sh*tcan
oratorize,*ratorize,0ratorize,rtrz,o r a t o r i z e,o_r_a_t_o_r_i_z_e,roatorize,oooooratorize,oratorizet,0ratorize
fastidious,f*stidious,fastidi0us,fstds,f a s t i d i o u s,f_a_s_t_i_d_i_o_u_s,afstidious,faaaaastidious,fastidiousp,fastidi0us
abysmal,*bysmal,abysmal,bysml,a b y s m a l,a_b_y_s_m_a_l,baysmal,aaaaabysmal,abysmalj,baysmal
venom,v*nom,ven0m,vnm,v e n o m,v_e_n_o_m,evnom,veeeeenom,venoma,ven0m
rave,r*ve,rave,rv,r a v e,r_a_v_e,arve,raaaaave,raveq,rave
woefulness,w*efulness,w0efulness,wflnss,w o e f u l n e s s,w_o_e_f_u_l_n_e_s_s,owefulness,woooooefulness,woefulnessb,woooooefulness
spartan,sp*rtan,spartan,sprtn,s p a r t a n,s_p_a_r_t_a_n,psartan,spaaaaartan,spartanc,spaaaaartan
smacking,sm*cking,smacking,smckng,s m a c k i n g,s_m_a_c_k_i_n_g,msacking,smaaaaacking,smackings,s_m_a_c_k_i_n_g
